"UpdatedMaster","StudyAbout","Decidestudyabout","Number_studies","SimilarStudy","SS_describe","Gender_Awareness","Gender_Aware_Des","Emotion_Awareness","Emotion_Aware_Desc","Psy_Course","IM_Non_Sex1","IM_Non_Sex2","IM_Non_Sex3","EM_Non_Sex1","EM_Non_Sex2","EM_Non_Sex3","NES1","NES2","NES3","NES4","NES5","NES6","BGenWorkplace1","BGenWorkplace2","BGenWorkplace3","BGenWorkplace4","BGenWorkplace5","Sexist_Beliefs1","Sexist_Beliefs2","Sexist_Beliefs3","Gender","Gender_4_TEXT","Age","Country","Country_3_TEXT","LivedUS","LivedSing","EnglishExperience","Edu_level","University","Corr_Cand_Gender","Correct_Emotion_Ang","Correct_Emotion_sad","Gender.Condition","Emotion.Condition","Power","Independence","Status.1","Hire","Yearly_Salary","Competent_R","Knowledgeable_R","Warm","Likeable","In_Control_R"
1,"what study was about","1","2020","Yes","describe study in past","9","candidate gender","9","emotional influence","Yes",2,1,2,3,4,5,6,7,6,5,4,3,7,6,5,4,3,2,1,2,"Male","",100,"United States","",100,100,"100","Graduate/postgraduate degree (e.g., doctoral degree)","Yes","Female","7",6,"Male","Sad",1,2,3,4,"5",6,7,8,9,10
1,"","2","99","No","","5","","5","","No",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Male","",0,"United States","",NA,NA,"","University degree","No","Female","4",NA,"Female","Sad",5,5,5,5,"",5,5,5,5,5
1,"","2","","No","","5","","5","","Yes",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Female","",NA,"Singapore","",NA,NA,"","University degree","Yes","Male","4",4,"Female","Angry",7,7,7,7,"",7,7,7,5,5
1,"ADSadsasdasdasdadsadadaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa SDasssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss","3","77777","Yes","Dfasdfasdfasdfadsfdsfadsfadfasdfasdfasdfdfs","5","asdfasfdsafafadsasfdsadfsdafsfsadfds","9","asdfasdffffffffffffffffffffff","Yes",4,1,7,2,7,5,7,6,1,7,1,1,4,3,4,4,1,7,6,1,"Other (please indicate)","dasdasdasd",41,"Other (please indicate):","asdasdasdasd",20,6,"41","Graduate/postgraduate degree (e.g., doctoral degree)","Yes","Male","5",4,"Female","Angry",11,1,1,5,"5000",8,11,2,9,10
1,"About the honesty of participants.","1","2","No","","6","A female participant would be more inclined to be more emotional as compared to a male.","7","His expression of sadness appears to convey a meek attitude.","No",5,5,4,5,5,5,6,6,6,6,6,4,4,3,1,4,5,5,6,4,"Male","",25,"Singapore","",0,25,"25","University degree","Yes","Male","2",6,"Male","Sad",7,7,7,7,"3500",7,4,5,7,7
1,"about how others reactions would impact the way you look at them and how our impressions would change ","2","2","No","","4","","7","it made me realise that he did not take responsibility over the joint effort and affected my impression of him ","No",7,7,6,6,5,5,2,5,6,7,4,4,7,6,5,6,7,4,5,2,"Female","",20,"Singapore","",0,20,"20","Some university","Yes","Male","4",1,"Male","Angry",4,8,4,3,"36000",4,4,5,4,9
1,"How we perceive others when only given a relatively small portion of information about a situation","3","1","No","-","1","-","9","Because he only felt sad, and nothing else. He did not feel like he was in control of the situation, nor did he feel any regret.","No",3,3,5,6,7,7,4,3,4,4,5,2,5,7,5,5,5,6,7,4,"Male","",24,"Singapore","",0,24,"24","Some graduate/postgraduate education","Yes","Male","1",7,"Male","Sad",3,5,4,3,"3000",8,8,5,4,9
1,"seeing whether we will be affected by whatever the interviewee says, and how our impressions can be formed of him just based on an interview","2","3","No","","5","","8","the way he described his answers gave me the impression that he was irresponsible, so with that in mind, i gave negative evaluation points to him ","No",5,4,4,3,3,3,3,4,4,4,4,4,2,5,4,4,3,5,5,5,"Female","",20,"Singapore","",0,20,"20","Some university","Yes","Male","3",4,"Male","Sad",4,5,4,4,"40000",5,6,5,5,6
1,"to study how an observable situation and influence impressions","2","0","No","","5","","7","Her anger and frustration reflected her desire to succeed and clinch the deal","No",7,7,3,2,2,2,5,6,5,4,3,1,5,7,4,4,5,6,6,2,"Male","",25,"Singapore","",0,24,"24","University degree","Yes","Female","6",2,"Female","Angry",9,9,6,8,"6000",4,9,4,6,8
1,"Linking negative experiences to an applicant's personality. ","2","0","No","","1","","9","It feels as though the candidate does not take responsibility and pushes the blame on others. ","No",7,7,7,7,7,7,2,2,1,4,4,1,5,7,7,7,5,5,1,1,"Male","",23,"Singapore","",0,23,"23","University degree","Yes","Female","6",6,"Female","Sad",3,3,3,2,"3000",5,5,2,2,11
1,"Emotions","1","3","No","","1","","8","He seemed like he was unable to surpress his anger and annoyance and was a very negative person. Solely blamed the other a party and could not view situations in different perspectives.","No",6,5,5,3,4,4,2,5,5,6,4,4,2,5,5,7,7,2,3,2,"Female","",22,"Singapore","",0,22,"22","Some university","Yes","Male","5",1,"Male","Angry",3,6,4,3,"3000",8,8,1,1,8
1,"To see if how one person handle the situation when they are in a negative setting (eg: the papers did not arrive in time)","2","0","No","","1","","3","","No",5,7,5,4,5,5,1,2,3,4,2,1,5,6,6,7,5,5,3,4,"Female","",22,"Singapore","",NA,22,"22","High school degree/completed secondary school","Yes","Female","6",2,"Female","Angry",4,5,4,2,"18000",3,4,6,6,3
1,"this study is about how emotions expressed can affect interviews and jobs ","2","0","No","-","1","-","7","it shows me the temper / personality of the candidate and how well she copes with emotions which will ultimately affect work produced ","No",7,4,5,4,1,1,2,4,4,4,3,3,4,5,5,5,5,5,5,5,"Female","",20,"Singapore","",0,20,"20","High school degree/completed secondary school","Yes","Female","6",1,"Female","Angry",5,8,5,5,"36000",9,8,5,4,6
1,"how to handle situations like this","2","1","No","","1","","5","","No",6,6,6,7,5,6,4,2,4,4,4,1,4,5,4,5,5,5,5,3,"Female","",20,"Singapore","",NA,20,"15","Some university","Yes","Male","2",3,"Female","Sad",6,9,5,5,"3000",6,6,4,5,8
1,"Perception of a person based on his emotions","2","0","No","","4","","7","He expressed that he was sad, which showed that he is affected by emotions but at the same time he did not get angry, which showed that he was still careful of his emotions.","No",5,5,3,6,6,6,1,1,2,4,4,1,5,5,5,5,4,7,7,1,"Male","",23,"Singapore","",NA,23,"","University degree","Yes","Male","1",7,"Male","Sad",3,6,7,7,"3000",6,6,7,7,6
1,"Perception of person based on response to a negative situation","1","0","No","","5","","6","Expressing anger perceived to be a sign of lack of control","No",7,6,2,5,5,5,6,6,5,6,5,4,2,4,5,5,4,6,6,1,"Male","",22,"Singapore","",0,22,"22","Some university","Yes","Male","6",1,"Male","Angry",5,5,4,6,"5000",6,6,6,6,5
1,"To find out the suitability of the job appliciant bu knowing their personality","2","1","No","","2","","7","The way he replied influence my decison ","No",4,3,4,3,4,4,3,1,3,3,3,2,4,5,5,5,4,5,4,5,"Male","",23,"Singapore","",0,23,"16","High school degree/completed secondary school","Yes","Male","3",3,"Male","Sad",6,6,5,6,"3000",7,5,7,7,3
1,"How blaming on others affect how we perceive that person. ","2","0","No","","5","","6","","No",4,4,4,5,5,5,2,5,5,5,3,2,3,4,5,5,5,3,3,3,"Male","",21,"Other (please indicate):","ROK",2,0.5,"5","University degree","Yes","Female","6",3,"Female","Sad",7,6,6,5,"30000",7,7,4,4,7
1,"This is a study about how negative statements or questions can make people shun away and push the responsibilities to others, as they would not like to be associated to such negative statements.","1","0","No","","1","","2","","No",6,5,4,4,2,3,3,1,5,5,5,1,5,5,5,5,5,2,3,2,"Female","",20,"Singapore","",NA,10,"20","University degree","Yes","Male","5",3,"Female","Sad",4,8,5,6,"4000",6,4,4,4,5
1,"To see what kind of verbal / emotional responses would affect another's opinion of an individual. ","2","4","No",NA,"5",NA,"7","Felt ""sad"" --> Appears to be more emotional. ","No",5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,"Male","",25,"Singapore","",1,24,"25","University degree","Yes","Female","3",5,"Female","Sad",7,7,7,6,"5000",6,6,8,8,NA
1,"How our emotions from our words can tell a lot about us and what it tells us","2","0","No","","1","","8","How she controls and displays her emotions, and were there analogical justifications or was it just pure emotions","No",6,6,4,1,1,1,7,4,3,2,2,1,2,3,2,4,2,6,6,4,"Male","",21,"Singapore","",0,21,"19","Some university","Yes","Female","3",3,"Female","Angry",7,7,8,7,"3400",4,5,7,7,5
